Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,arme à feu,20,ICI.Radio-Canada.ca,Nouvelles accusations en lien avec le vol d'armes au Pronature d'Alma,,,https://ici.radio-canada.ca/nouvelle/1150474/vol-armes-feu-pronature-arrestation-etape,2021-07-03 09:18:26
Alma ,arme à feu,21,ICI.Radio-Canada.ca,Le registre des armes à feu divise toujours au Saguenay-Lac-Saint-Jean,,,https://ici.radio-canada.ca/nouvelle/1149741/armes-epaule-chasse-enregistrement,2021-07-03 09:18:26
Alma ,arme à feu,22,Le Quotidien - Groupe Capitales Médias,"Les ventes d'armes et de munitions en hausse, selon des détaillants",,,https://www.lequotidien.com/actualites/les-ventes-darmes-et-de-munitions-en-hausse-selon-des-detaillants-0db53c5bc99a1b85d4ddce5f6b4d0e16,2021-07-03 09:18:26
Alma ,arme à feu,23,Le Quotidien - Groupe Capitales Médias,Russel-Aurore Bouchard et le poids des armes,2020-10-17,259,https://www.lequotidien.com/arts/russel-aurore-bouchard-et-le-poids-des-armes-4623b85ccfb7c3cce7823a72b4c4df66,2021-07-03 09:18:26
Alma ,arme à feu,24,Le Soleil - Groupe Capitales Médias,Une mère d'Alma coupable d'avoir secoué son bébé à deux reprises,2020-10-08,268,https://www.lesoleil.com/actualite/justice-et-faits-divers/une-mere-dalma-coupable-davoir-secoue-son-bebe-a-deux-reprises-768bfabef11b852e35a1efbfe4bf4825,2021-07-03 09:18:27
Alma ,arme à feu,25,Le Quotidien - Groupe Capitales Médias,Un grave incendie à Hébertville | Actualités,2020-12-02,213,https://www.lequotidien.com/actualites/un-grave-incendie-a-hebertville-997a5fb49de2e40144c0093e206616b8,2021-07-03 09:18:27
Alma ,santé publique,1,Le Journal de Québec,"TREMBLAY, Lucille Simard",2021-07-03,0,https://www.journaldequebec.com/2021/07/03/8927b1b79b/tremblay-lucille-simard,2021-07-03 09:18:37
Alma ,santé publique,2,ICI.Radio-Canada.ca,Au tour du Festival des brasseurs de Dolbeau-Mistassini de renoncer à son édition 2021,2021-06-30,3,https://ici.radio-canada.ca/nouvelle/1805486/festivals-regles-sanitaires-bieres,2021-07-03 09:18:37
Alma ,santé publique,3,ICI.Radio-Canada.ca,"Un surplus de 5,8 M$ à Alma en 2020",2021-06-07,26,https://ici.radio-canada.ca/nouvelle/1799687/conseil-municipal-rapport-financier,2021-07-03 09:18:37
Alma ,santé publique,4,Journal Le Lac St-Jean,Le Festival des Bières d'Alma encore annulé cet été,2021-06-11,22,https://lelacstjean.com/actualite/68921/,2021-07-03 09:18:37
Alma ,santé publique,5,Journal Le Lac St-Jean,Le centre-ville d'Alma s'animera,2021-06-09,24,https://lelacstjean.com/actualite/le-centre-ville-dalma-sanimera/,2021-07-03 09:18:38
Alma ,santé publique,6,NecrologieCanada,ThereseLavoie Jean 2021,2021-07-02,1,https://necrocanada.com/deces-2021/thereselavoie-jean-2021/,2021-07-03 09:18:38
Alma ,santé publique,7,NecrologieCanada,ThereseLavoie Jean Le mercredi 30 mai 1934 Le mercredi 30 juin 2021,2021-07-02,1,https://necrocanada.com/deces-2021/thereselavoie-jean-le-mercredi-30-mai-1934-le-mercredi-30-juin-2021/,2021-07-03 09:18:38
Alma ,santé publique,8,Le Journal de Québec,"GIRARD, Lucie",2021-06-26,7,https://www.journaldequebec.com/2021/06/25/6e6103f84a/girard-lucie,2021-07-03 09:18:38
Alma ,santé publique,9,Le Quotidien - Groupe Capitales Médias,La Coupe Proco d'Alma en version festive et régionale,2021-06-21,12,https://www.lequotidien.com/sports/la-coupe-proco-dalma-en-version-festive-et-regionale-8c25814992d5245056527b8e1dea754d,2021-07-03 09:18:39
