Villes,type mot-clés,hors Québec,local/regional,national,non media,Villes
Thetford Mines,national,8.0,700.0,497.0,13.0,Thetford Mines-national
Trois-Pistoles,local,3.0,1898.0,388.0,135.0,Trois-Pistoles-local
Trois-Pistoles,mixte,1.0,934.0,194.0,4.0,Trois-Pistoles-mixte
Trois-Pistoles,national,35.0,731.0,323.0,20.0,Trois-Pistoles-national
Trois-Rivières,local,111.0,1758.0,528.0,184.0,Trois-Rivières-local
Trois-Rivières,mixte,11.0,799.0,358.0,26.0,Trois-Rivières-mixte
Trois-Rivières,national,67.0,817.0,496.0,20.0,Trois-Rivières-national
Témiscouata-sur-le-Lac,local,3.0,1978.0,299.0,87.0,Témiscouata-sur-le-Lac-local
Témiscouata-sur-le-Lac,mixte,4.0,967.0,165.0,15.0,Témiscouata-sur-le-Lac-mixte
Témiscouata-sur-le-Lac,national,15.0,848.0,304.0,15.0,Témiscouata-sur-le-Lac-national
Val-d'Or,local,14.0,1308.0,619.0,553.0,Val-d'Or-local
Val-d'Or,mixte,9.0,824.0,187.0,180.0,Val-d'Or-mixte
Val-d'Or,national,16.0,655.0,617.0,76.0,Val-d'Or-national
Val-des-Monts,local,251.0,1600.0,495.0,139.0,Val-des-Monts-local
Val-des-Monts,mixte,47.0,854.0,189.0,57.0,Val-des-Monts-mixte
Val-des-Monts,national,135.0,810.0,231.0,23.0,Val-des-Monts-national
Val-des-Sources,local,305.0,1710.0,355.0,186.0,Val-des-Sources-local
Val-des-Sources,mixte,120.0,805.0,207.0,38.0,Val-des-Sources-mixte
Val-des-Sources,national,237.0,794.0,284.0,21.0,Val-des-Sources-national
Vaudreuil-Dorion,local,1.0,1164.0,1177.0,129.0,Vaudreuil-Dorion-local
Vaudreuil-Dorion,mixte,1.0,695.0,469.0,26.0,Vaudreuil-Dorion-mixte
Vaudreuil-Dorion,national,2.0,308.0,786.0,16.0,Vaudreuil-Dorion-national
Victoriaville,local,12.0,1986.0,248.0,199.0,Victoriaville-local
Victoriaville,mixte,2.0,996.0,121.0,61.0,Victoriaville-mixte
Victoriaville,national,11.0,705.0,339.0,32.0,Victoriaville-national
Ville-Marie,local,244.0,1072.0,982.0,289.0,Ville-Marie-local
Ville-Marie,mixte,58.0,481.0,530.0,95.0,Ville-Marie-mixte
Ville-Marie,national,154.0,415.0,700.0,56.0,Ville-Marie-national
Windsor,local,382.0,1467.0,293.0,190.0,Windsor-local
Windsor,mixte,538.0,346.0,195.0,68.0,Windsor-mixte
Windsor,national,490.0,172.0,556.0,43.0,Windsor-national
